Date,Entry
20-Apr-21,"On Friday the Provincial government introduced new measures to try to halt the runaway third wave of COVID variants that are the toughest in North America. Among other directives, police and bylaw officers were given the authority to stop residents who were either driving or walking, and ask them their reason for be- ing outside their residences. After almost all police forces in the province stated they would not be stopping cars to do these checks, the Provincial government backtracked.During his Friday announcement, Premier Ford said, “We, as a group, are not saying don’t take a walk around and get some exercise,” but added there needed to be measures in place that target large groups of people who meet in public parks without social distancing. Following this announcement, Pelham’s playgrounds like all other playgrounds located in Ontario were off limits. Many experts did not agree with the closing of the playgrounds because infections from surface con- tact are thought to be minimal—and indeed within a day the Province back- tracked on this as well. As of Monday, there are now checkpoints at all inter-provincial border crossings with Manitoba and Quebec, to prohibit non-essential entry.It should be pointed out that Pearson International Air- port remains open, with approximately 2000 travellers entering Ontario daily. These orders were put in place as the Province registered a record 4812 new infections on Friday. The Region had 154 new cases on Friday with 222 the day before, and 171 on Sun-day. Active cases in Pelham continue to grow with 95 active cases as of Sunday. With 53 active cases per 10,000 population, Pelham was second only to Welland’s 67 per capita infection rate within Niagara. Positivity rates across the region have reached 7.3 percent, a number that was below three percent only a month ago.On the vaccine front there was the good news that our community centre was given two more clinic days, those being this Monday and Tuesday. It is hoped that these two days will run as smoothly and efficiently as the previous clinic on April 8. Nationally, Canada will receive 8 million additional doses of Pfizer’s vaccine with increased shipments starting in May. This announcement was offset somewhat when one of the other vaccine manufacturers Moderna, announced its next shipment would be cut roughly in half, with only 50, 000 doses arriving next week instead of the expect d 1 million.The Massachusetts-based company also announced that it would miss its second quarter target of 12.3 million by as many as 2 million doses. The company’s citing manufacturing difficulties for thee missed targets. As are most residents I am extremely saddened to see the lockdown with these new measures extended to May 20. With ICU numbers climbing along with ever-in-creasing number of patients on ventilators, these steps apparently had to be taken. I urge all residents of Pelham to get vaccinated as soon as possible, continue to get in your walks, and practice social distancing when you are outdoor. These new variants have indeed pushed back the finish line but t at finish line remains in sight."
13-Apr-21,"Some 100,000 Niagara residents are now vaccinated against COVID-19. This represents 19 percent of Niagara residents having received a first dose, while 1.9 percent have received a complete series, so are fully vaccinated. The vaccination clinic held this past Thursday at the community centre operated without a hitch, with some 900 doses having been administered. Residents that I talked to were very impressed with the quickness that they were in and out of the building. Health officials were so impressed with the site that at least two future dates have been booked, and will be announced shortly. All vaccination clinics within the Region are now completely booked for the next two weeks.It is great to see Niagara residents accept- ing the vaccines so willingly, with other areas of the province having a hard time filling all of their appointments. On Monday, Niagara Public Health reminded residents in the ""strongest possible terms"" to continue observing the current stay-at-home order, noting that there were 1062 confirmed COVID cases in the Region, ICUs were 88 percent filled, and that the health system did not have ""unlimited capacity"" to pro- vide critical care. It’s been very disheartening to see the region’s new daily case count consistently over the 100 mark for the last several days. I find it hard to believe that Niagara residents are travelling around that much more now than we were, say, three weeks ago, so I think it is safe to say that these large daily increases are due to the more infectious variants, demonstrating how they are so much more easily spread. As of Monday there were 43 active cases in Pelham, which left us with the third-highest rate of infection among all municipalities in the Region.One big change from the province’s science advisors has been the recommendation since February that vaccinations should be targeted into the most affected areas of the province. Last week the government announce that in Ontario’s hardest hit neighbourhoods anyone 18 and up may get vaccinated. These are the neighbourhoods where the hospital ICUs are getting alarmingly close to capacity, and doctors are predicting that they may soon have to make the impossible decision as to who gets a ventilator and who doesn’t, due to the continued influx of patients. I personally agree with this decision, at the same time hoping that we here in Niagara continue to make progress with vaccinations as well.This week has been designated as pitch-in week within the Town. Residents wanting to host a clean-up event on Town property can choose a site such as a park, trail, street or parking lot, to clean up. The Town will provide such things as gloves, recycling bags, and specially marked garbage bags. For more information and to register please visit: pelham.ca/ cleanup or call the community centre. If you don’t want to be quite so formal you could just simply take a garbage bag with you when doing your daily steps and pick up what you find. Until next time."
06-Apr-21,"It is important to note that Niagara Region Public Health vaccination clinics will continue to be open during the Province-wide shutdown. As more and more clinics open and run simultaneously in the Region, there is the problem of unused doses at the end of the day. These doses cannot be refrozen and must be used within a certain time frame. The Health Unit must try to make use of these unused vaccines. To this end, they are compiling standby lists. To qualify for the current standby list, Niagara residents must be 65 and over and must be able to arrive at a pre-chosen clinic within 30 minutes of receiving the notification call. Residents are asked to sign-up even if they already have an appointment, and are still encouraged to book an appointment through the Provincial booking system, as those on the standby list are not guaranteed to get a vaccine.As of last Thursday, the total number of vaccine doses administered in Niagara was 77,984. When word of the availability of the COVID-19 vaccine was first announced months ago, I was on the fence as to whether or not I would get vaccinated. Having been raised on a farm surrounded by a lot of different animals and a lot of time getting up close and personal with various forms of their manure, I felt that my immune system, like all other farm-raised kids, was stronger than average. However, with these new variants being more contagious and having the potential to more adversely affect those they infect, I have changed my tune and will get vaccinated whenever the off er is given. As always, visit www.niagararegion.ca/health/ for up-to-date information.On the Town front, staff were very disheartened to have to completely shut down the community centre for this latest lockdown, especially when residents were returning in droves to use the facility. Health officials are quick to point out that residents must continue to get outside for exercise, do their walks, or runs, while maintaining social distance. Hang in there, everyone — that light is getting brighter every day! Until next time."
30-Mar-21,"While address- ing a public forum this past Friday afternoon, the Region’s Acting Medical Officer of Health, Dr. Mustafa Hirji, stated that 48 percent of the 80-year-old-plus segment of Niagara’s population have now been vaccinated. Of course the majority of these are located in the Region’s senior and long-term-care homes. It can be assumed that the remaining 52 per- cent of this group live in their own homes. It is the group that has for the past week been able to book appointments on the province’s health line. A fair number of Pelham seniors have used the assistance offered by the Pelham Library to make these bookings.If you require some help, the Library phone number is (905) 892-6443. Once you have booked an appointment, the website niagararegion.ca provides information on such things as when to arrive, what to bring, and what to expect at the clinic. Starting this Monday, those who will turn 75 or older in 2021 may also now book appointments. The first vaccination clinic will be held at the MacBain Community Centre in Niagara Falls, and its first three days are fully booked.In Pelham, the Meridian Community Centre will be the Town’s vaccination clinic location, and it will be open April 8. Niagara Regional Transit is providing free transportation to the clinic and their customer service telephone number is (289) 302-2172. When using this service, you must show the driver proof of your appointment. With the United States shipping 1.5 million doses of vaccine north to Cana- da, this should ultimately speed up the process here in Niagara. As of Sunday, there were 14 people with COVID in Region hospitals. On Friday the Ford Government increased the customer limit from 10 to 50 percent of capacity in restaurants and bars at any one time (not to exceed 50 patrons), as long as physical distancing between tables can be maintained.At last, spring is here and this week’s forecast is for very spring-like temperatures. Please get outside for some fresh air and sunshine, maybe a walk, and if it ends at an outdoor patio, so be it! "
23-Mar-21,"While addressing a public forum this past Friday afternoon, the Region’s Acting Medical Officer of Health, Dr. Mustafa Hirji, stated that 48 percent of the 80-year-old-plus segment of Niagara’s population have now been vaccinated. Of course the majority of these are located in the Region’s senior and long-term-care homes. It can be assumed that the remaining 52 per cent of this group live in their own homes. It is the group that has for the past week been able to book appointments on the province’s health line. A fair number of Pelham seniors have used the assistance offered by the Pelham Library to make these bookings. If you require some help, the Library phone number is (905) 892-6443. Once you have booked an appointment, the website niagararegion.ca provides information on such things as when to arrive, what to bring, and what to expect at the clinic. Starting this Monday, those who will turn 75 or older in 2021 may also now book appointments. The first vaccination clinic will be held at the MacBain Community Centre in Niagara Falls, and its first three days are fully booked. In Pelham, the Meridian Community Centre will be the Town’s vaccination clinic location, and it will be open April 8. Niagara Regional Transit is providing free transportation to the clinic and their customer service telephone number is (289) 302-2172. When using this service, you must show the driver proof of your appointment. With the United States shipping 1.5 million doses of vaccine north to Canada, this should ultimately speed up the process here in Niagara. As of Sunday, there were 14 people with COVID in Region hospitals. On Friday the Ford Government increased the customer limit from 10 to 50 percent of capacity in restaurants and bars at any one time (not to exceed 50 patrons), as long as physical distancing between tables can be maintained. At last, spring is here and this week’s forecast is for very spring-like temperatures. Please get outside for some fresh air and sunshine, maybe a walk, and if it ends at an outdoor patio, so be it! Until next time. "
16-Mar-21,"When trying to discover details as to how the vaccination clinics will operate in the Niagara Region, one soon realizes that the situation is very fluid, with times and dates changing almost daily, for the simple reason that no area—be it the Region or any other part of Canada—has any idea how many doses they’re getting or when they will arrive.As of Friday afternoon, this is how the situation sat: Niagara Region Public Health recently launched an online pre-registration website for COVID-19 vaccination priority groups. This online booking system is the fastest way to register for a vaccine appointment. If you need help with this process, Pelham Public Library is here to help you for the pre-registration process. Residents can use a computer at their local branch to complete the online registration themselves, or library staff can complete the registration for them.If a resident cannot come into the branch and they have an email address and cell phone, the library is also offering the same services over the telephone. Please phone (905) 892-6443, and you will need the following info to pre-register online: your contact information including address, a cell phone number, an email address, and your health card number. If you do not have an email address or a cell phone, or a family member to assist, you may call the Region’s COVID-19 info line at (905) 688-8248 and press 7 for assistance. Call volumes may be high, so please be patient and expect delays. The first date that a clinic will be held is April 8, at the community centre—this clinic will be only for those residents 80-years-plus. Please get updates either from the Town of Pelham website or the Region's website. As of last Friday, 1 million people have received at least one vaccine dose in Ontario, with some 30,000 high-risk seniors living in care homes being vaccinated. With the vaccine manufactures promising ever-larger shipments of doses to Canada, vaccination timelines are shifting on a weekly, if not daily basis. On the economic front: there were 259,000 jobs created in Canada in February. It is a general feeling among economists that there is a huge pent-up demand for services to be delivered, once a sizable portion of the population has been vaccinated."
09-Mar-21,"The Ontario govern-ment has moved up its timeline for COVID-19 vaccination plan targets because of two new developments in the past week, meaning that up to two million more doses of vaccine than originally anticipated will be received in March. Health Canada has given the green light for the provinces to administer the second shot required for most of the vaccines up to four months after the first shot. The province now expects to give all adults 60 and older a fi rst dose of vaccine by early June.Although some residents, myself included, are under the impression that the Niagara Region is behind the rest of the province in its vaccination rates, the Region’s Acting Medical Officer of Health, Dr. Hirji, insists this is not true. During a virtual presentation conducted last Friday, the doctor showed that while Hamilton Region was slightly ahead of Niagara on a per capita basis, the Niagara Region is ahead of the provincial average. One interesting point made by the doctor was the larger than average number of long-term care homes located within the region. Peel Region, which has a population twice as large as Niagara, has 28 such facilities within its borders, whereas Niagara has 32. Residents in all 32 of these facilities have been vaccinated with both shots, as have the majority of senior home residents. Most frontline workers will have been off ered their first shot by the end of this week, and all area hospitals are now vaccinating 80-year-olds and older currently being hospitalized.In a mayors meeting held last Wednesday, Niagara Public Health was roundly criticized for being so secretive with its vaccination plans and was encouraged by the mayors of the Region to be more forthcoming with their plans. The next day Public Health released the list of the primary vaccination sites throughout the region. On the list is our community centre, with its size and parking availability making it a logical choice.The health department says it will enlist all forms of communication to inform Niagara residents how and when to sign up for their shots, tentatively scheduled at this time, to begin in three weeks, with over-80- year-old residents at the top of the list. With the Region in the red zone the community centre has been re-opened for a week now, and both ice rinks are totally booked for the month of March.Town staff are reporting that people are chomping at the bit to get on the ice and get their exercise. Many area municipalities will be taking their ice out in the next week or two, which means Pelham’s two arenas are slated to be very busy this summer. If you wish to use the walking track please remember you must phone ahead to book an appointment. "
02-Mar-21,"Finally! Canada is seeing an up-surge in vaccines distributed across the country, with numbers making up more than double of what was allocated in the last two weeks. In the last week of February, Canada received 643,000 doses, making this the best week for receiving vaccines so far. Including last week’s shipments, some 2 million doses have been distributed across the country, with the vast majority of these vaccines being the Pfizer-BioNTech shot. This company has committed to providing 4 million doses by the end of the first quarter. When other brands are included in the numbers, Canada is on track to receive a total of 6.5 million doses by the end of March. With Health Canada approving yet another vaccine for use this past week, these numbers should continue to climb into the spring.With the completion of senior homes and long-term care homes, Niagara should see caregivers and first responders receiving injections this week, with seniors living in the community next in line. Finally, your patience has been rewarded! For up-to-date information go to niagararegionhealth, click on “vaccinations.”This Monday, the Region went into Red-control status, which will allow restaurants to open with the maximum number of patrons being ten. A safety plan must also be completed, and posted in a conspicuous location. Other services that are allowed to re-open are fi tness centres, gyms and hair salons. In Pelham, the community centre is open, with appointments needed for the walking track, and a maximum of ten people per area. With the rain and warm temperatures of the last couple days, the walking trails of Pelham should also be getting back to be-ing in good shape."
23-Feb-21,"The good news on the vaccination front this week is that studies in various countries are showing that when increasing the time period between the first and second dose it seems to make the Pfizer vaccine more eff ective. A study concerning Israeli healthcare workers shows that the first dose is 85 percent effective and adding the second dose within one month after the first, as is currently recommended, provides little added protection in the short term. In fact, one Canadian scientist contends that the length of time between the two doses could be safely extended to nine or ten weeks.By extending the time frame between doses more people could be vaccinated with the first dose before having to circle back to do the second dose. Hundreds of thousands of shots are set to arrive each week for the foreseeable future, and we can only hope that all levels of our healthcare system have the logistics in place to deliver them at an expedited pace. I have heard from many of our seniors who are living on their own as to how anxious they are to receive their first shots. Latest statistics show that Canada now ranks 50th when compared to other countries and their vaccination rate. Israel leads the way with 80 percent of their population vaccinated, and the US ranks 5th on the list with just over 17 percent of Americans vaccinated. The Americans are still on track to have 100 million citizens vaccinated in Biden’s first 100 days in office. Canada currently has 1.3 million residents given the first dose.In Niagara there were 26 new cases on Friday with the number of deaths in the region at 365. The number of active cases in Pelham had dropped to nine with all residents self-isolating at home. The positivity rate in Pelham was at 2.3 percent, which is classified in the low category.A week or two ago an article appeared in the Voice about a little boy named Emmett Gervason. He was born without an opening in his left ear for sound to enter.  His story can be found at gofundme-an-ear-for-emmy.  His parents have located a doctor in the US who can perform corrective surgery to give Emmet hearing in this ear—at a cost of $250,000 dollars.  His parents, Amanda and Aaron, could use some help paying this amount of money.  Funds raised to date are just a little over $53,000 dollars. Please, let’s show this family that we all strongly believe in the adage, “It takes a village to raise a child.”  Please go to the website, read about little Emmett and his family, and search your hearts and pockets for a donation for this little guy’s operation.  His family says thank you. Until next time… ◆"
17-Feb-21,"As of last Friday, 1,221,539 doses of vaccines had been administered across Canada, with 35,000 shots given on Friday itself. Using these numbers this means 2.5% of the total population has received one dose. As I convey to you these numbers I am not exactly bursting with pride. However, with vaccine delivery supposedly starting to ramp up after a pitifully slow start, we can only hope that in the coming weeks these numbers will skyrocket.Along with many other politicians in Niagara, I was disappointed that the provincial health officials kept Niagara Region in grey lockdown, when many of our health indicators suggested that we should have moved into the red control zone, and almost into orange. It has been suggested that if we advance to a less restrictive zone that residents will flood into the Region from other nearby areas. This argument loses its edge when it is noticed that practically all areas west of and including Hamilton moved to the red-control zone and many areas, including the not-too-distant region of Haldiman-Norfolk, moved into the orange zone. I certainly hope that the powers that be will rectify this obvious mistake in the coming week.In Niagara, 123—yes, that number is correct—only 123 doses were ad-ministered on Friday, bringing the total number in the Region to 7677.  The good news is 100 percent of long-term care home residents have been given both doses, and 7.1 percent of high-risk retirement home residents have been given both doses. Unfortunately, seniors living in their own homes are in for another week or two of waiting. In the meantime it remains imperative that we all con-tinue to wear masks when out in public, and sanitize your hands at every opportunity. At Pelham Town Hall the blockbuster news this past week was Town Clerk Nancy Bozzato announcing her retirement, after a total of 40 years in municipal government, with over half of these spent in Pelham.  From the first day that I became involved in politics in Pelham, I was amazed at the amount of knowledge Nancy possessed about everything alluding to municipal governance and protocol. It will be a sad day when Nancy walks out of Town Hall for the last time as Clerk, but the Town’s loss will be her grandkids’ gain. On behalf of Town Council and all Pelham residents, Nancy, we wish you a long and happy retirement.At the other end of the employment spectrum our new Town solicitor has just finished her first month of employment in Pelham and when asked for comment these were her refl ections: “My first month as Town Solicitor has gone quickly! Time flies when you are having fun...and when you are working hard! Over the past few weeks I have had the privilege of meeting Mayor Junkin [Mayor’s note: A nice guy] and of connecting with many Town staff , both virtually and in person. I expect to meet other members of council shortly and I am looking forward to that. I have received a warm welcome from everyone here and have already seen how dedicated council and staff are to serving the Pelham community. I am excited to be part of this team! In addition, having recently relocated to the area, I am looking forward to exploring the Niagara region with my family!”Welcome to our town Jennifer! From our short time conversing with each other I am confident that you will have no problem fitting in with our team. Now for all of you that have just finished reading this column, grab a coat and a hat and go get some exercise! [Editor’s note: Not before reading the rest of the paper.] And when you return home, phone a friend."
